system:index,B1,B2,B3,B4,B5,B6,B7,ClassID,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_2_15_0,0.1305467,0.11593157,0.114958584,0.24460766,0.2410385,300.2453,0.16866246,5,0.3393034996063611,-7.2447944,0.10416666666666669,791200.9375,-0.0771197105122351,641.2708333333333,2.2821740957339185,0.0025265469558819783,-15280.020833333334,393435.8433159813,0.007349293,0.17665578,0.36057076,0.28082511557846046,0.03403704475086211,
1_1_1_2_15_1,0.13853854,0.12784472,0.1331273,0.24810079,0.29389614,299.8237,0.18550217,5,0.2852018513521034,-7.7523074,0.10416666666666669,423784.6041666666,-0.023172762419545564,548.7708333333334,2.2821740957339185,0.002505500131146491,-15684.6875,209536.25651042722,-0.08449375,0.22610418,0.30158713,0.30726192380124534,0.03403704475086211,
1_1_1_2_15_2,0.13155547,0.12511598,0.13050407,0.24153085,0.27989805,299.8237,0.16441947,5,0.2674340650182042,-8.583347,0.10416666666666669,833265.8541666667,-0.46459482785878187,710.8958333333334,2.2821740957339185,0.002464227541044262,-15844.1875,285187.091579875,-0.073580876,0.25990102,0.29843107,0.2979057654327933,0.03403704475086211,
1_1_1_2_15_3,0.13512114,0.122495376,0.13434854,0.23780173,0.3013062,299.8237,0.18679595,5,0.250981926144335,-8.24507,0.10416666666666669,1162144.3541666667,-0.15502375066881147,904.8958333333335,2.2821740957339185,1.2729932880887224E-5,-15204.770833333334,511853.50303820707,-0.117795445,0.23460303,0.2779877,0.3137467026466275,0.03403704475086211,
1_1_1_2_15_4,0.13584462,0.12703595,0.12913436,0.23017825,0.25361738,299.8237,0.17487893,5,0.25615758168819625,-8.705037,0.10416666666666669,917196.5,0.010147386663230479,757.125,2.2821740957339185,0.0028144577390787095,-16398.541666666668,477787.69618056156,-0.0484484,0.18375526,0.28121445,0.26110023870396804,0.03403704475086211,
1_1_1_2_15_5,0.13687217,0.12788904,0.13744584,0.24429658,0.29854068,300.0345,0.1792349,5,0.25625392441345607,-7.756291,0.10416666666666669,476657.5208333333,-0.31936632095120054,589.8958333333334,2.2821740957339185,0.0028144798165599468,-16093.729166666668,183120.74262153916,-0.099927,0.2497109,0.27990273,0.3036781958570424,0.03403704475086211,
1_1_1_2_15_6,0.13228895,0.12498176,0.13319187,0.24069697,0.3003452,299.8237,0.17877474,5,0.2565310688886216,-8.137384,0.10416666666666669,907605.2291666667,-0.37477105629404095,698.1458333333333,2.2821740957339185,0.0028083639827204713,-15799.604166666666,329659.6974826511,-0.11024694,0.253737,0.28753224,0.316617693206658,0.03403704475086211,
1_1_1_2_15_7,0.13371338,0.122415245,0.12288742,0.2413072,0.2462582,299.6122,0.1459972,5,0.30339732426199034,-6.5262976,0.10416666666666669,1105671.6041666667,-0.08533555335796723,855.3125,2.2821740957339185,1.560498189095388E-5,-15159.5625,501424.22178820334,-0.010154536,0.25560135,0.32515523,0.27006959251075613,0.03403704475086211,
1_1_1_2_15_8,0.13765015,0.124290146,0.12955824,0.22142887,0.27068275,299.8237,0.18216002,5,0.23766149746540902,-8.653511,0.10416666666666669,374201.3541666667,0.15283244962798676,506.77083333333326,2.2821740957339185,3.8846888901930874E-4,-16811.895833333332,226128.1818576567,-0.10008681,0.19548227,0.26174933,0.2846295076953361,0.03403704475086211,
1_1_1_2_15_9,0.1342392,0.11786967,0.12544806,0.23139182,0.2664004,299.823,0.16759273,5,0.2710151647259459,-7.7676797,0.10416666666666669,277279.06249999994,-0.33073783616573743,425.31249999999994,2.2821740957339185,3.9654820635855734E-4,-16195.5625,105621.12282987311,-0.0703277,0.22767103,0.29689437,0.29122033590421903,0.03403704475086211,
