system:index,AVE,B10,B2,B3,B4,B5,B6,B7,ClassID,DIF,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,LSWI,NDI,NDTI,NDVI,NLI,RT1,RT2,SATVI,random,.geo
1_1_1_2_31_7,1387.0,302.39337,0.12949531,0.11481197,0.121061906,0.25796968,0.29877773,0.16885075,5,1638,0.33783490367162744,-16.483814,0.10416666666666669,1591238.1666666665,0.08908558425373035,844.1666666666667,2.2821740957339185,1.5343871741526372E-5,-33157.25,815238.4887153208,-28.32221,0.10416666666666669,1591238.1666666665,0.08908558425373035,844.1666666666667,2.2821740957339185,1.5343871741526372E-5,-33157.25,815238.4887153208,-0.07329725,0.59048307,0.2778423,0.36120412,451.69717,3.883803,0.2574796,0.3471910721240954,0.14120777915633997,
1_1_1_2_31_8,1387.0,302.26807,0.13105349,0.11760296,0.12501691,0.2784258,0.32764104,0.18608361,5,1638,0.3667871824054627,-16.206207,0.10416666666666669,3155462.7916666665,0.23402997588680208,1389.0,2.2821740957339185,3.070889362464712E-6,-34997.83333333333,1891873.774305582,-28.030127,0.10416666666666669,3155462.7916666665,0.23402997588680208,1389.0,2.2821740957339185,3.070889362464712E-6,-34997.83333333333,1891873.774305582,-0.08120429,0.59048307,0.27555117,0.3802495,451.69717,3.883803,0.2574796,0.36918680695121164,0.14120777915633997,
1_1_1_2_31_9,1759.0,302.42783,0.13045734,0.11829133,0.1253723,0.25615713,0.30975497,0.17452738,5,2012,0.31745094503424254,-16.613777,0.10416666666666669,676630.1041666667,0.16945925636386763,592.2708333333333,2.2821740957339185,2.7539481289347184E-5,-33267.9375,352194.0134548992,-27.491924,0.10416666666666669,676630.1041666667,0.16945925636386763,592.2708333333333,2.2821740957339185,2.7539481289347184E-5,-33267.9375,352194.0134548992,-0.09471054,0.57191586,0.27923295,0.3427909,591.8263,3.6719787,0.27233273,0.34894692638367836,0.14120777915633997,
1_1_1_2_31_10,1714.0,302.41516,0.13008538,0.1169612,0.12349746,0.26187766,0.30702913,0.17149061,5,1684,0.3367825860343344,-16.850996,0.10416666666666669,2667183.5208333335,0.27057910901177906,1239.3958333333333,2.2821740957339185,9.827660062488587E-6,-34806.85416666667,1685265.5881076604,-27.725225,0.10416666666666669,2667183.5208333335,0.27057910901177906,1239.3958333333333,2.2821740957339185,9.827660062488587E-6,-34806.85416666667,1685265.5881076604,-0.07936533,0.49124855,0.2832454,0.35907924,650.1844,2.9311926,0.34115806,0.35087376443901824,0.14120777915633997,
1_1_1_2_31_11,1714.0,302.35657,0.13053876,0.12040713,0.124058455,0.27045375,0.2979301,0.18981954,5,1684,0.3533510730204018,-19.531036,0.10416666666666669,3422158.7916666665,0.2763222188119839,1387.3333333333335,2.2821740957339185,1.2158006099753821E-4,-37120.58333333333,2164460.1493055224,-27.420052,0.10416666666666669,3422158.7916666665,0.2763222188119839,1387.3333333333335,2.2821740957339185,1.2158006099753821E-4,-37120.58333333333,2164460.1493055224,-0.04834117,0.49124855,0.22165172,0.37107927,650.1844,2.9311926,0.34115806,0.33479026248691834,0.14120777915633997,
1_1_1_2_33_0,1047.0,302.9446,0.13898125,0.12906119,0.1385018,0.2880814,0.36987936,0.22708061,5,1154,0.3472997632812158,-17.63191,0.10416666666666669,2411495.75,-0.09021726465893215,1184.6666666666667,2.2821740957339185,2.8297842166091838E-5,-31903.458333333332,1121494.074652806,-26.042906,0.10416666666666669,2411495.75,-0.09021726465893215,1184.6666666666667,2.2821740957339185,2.8297842166091838E-5,-31903.458333333332,1121494.074652806,-0.12432042,0.55109835,0.23920992,0.3506458,364.50812,3.4553192,0.28940886,0.3751671883559619,0.596595385069075,
1_1_1_2_33_1,1293.0,302.8634,0.13680467,0.12488611,0.13022567,0.2877546,0.3630486,0.21626411,5,1472,0.37755945633028587,-15.146186,0.10416666666666669,1487567.8749999998,-0.05591330468845404,874.4166666666667,2.2821740957339185,1.8125363072299757E-5,-31105.375,714759.5989583805,-25.72616,0.10416666666666669,1487567.8749999998,-0.05591330468845404,874.4166666666667,2.2821740957339185,1.8125363072299757E-5,-31105.375,714759.5989583805,-0.11569399,0.5692189,0.25337696,0.37688124,437.02747,3.6427288,0.27451947,0.3892459451885967,0.596595385069075,
1_1_1_2_33_2,771.5,302.83365,0.13672309,0.12420243,0.13114083,0.28132528,0.3597373,0.21675795,5,377,0.3600692156037677,-14.988521,0.10416666666666669,478254.4166666666,0.03392631933975955,584.6666666666666,2.2821740957339185,1.535767056289864E-5,-30069.75,255418.51822921634,-27.005013,0.10416666666666669,478254.4166666666,0.03392631933975955,584.6666666666666,2.2821740957339185,1.535767056289864E-5,-30069.75,255418.51822921634,-0.12231571,0.24432923,0.2480148,0.36411345,362.722,1.6466552,0.60729164,0.3836342229377336,0.596595385069075,
1_1_1_2_33_3,1017.5,302.87943,0.14058629,0.13389076,0.1437677,0.28999552,0.36635175,0.22758575,5,1259,0.33287928762270763,-15.443538,0.10416666666666669,2070700.8333333335,-0.09268393521796849,1136.9583333333333,2.2821740957339185,2.464220925292775E-5,-32260.625,959369.0876736194,-25.567785,0.10416666666666669,2070700.8333333335,-0.09268393521796849,1136.9583333333333,2.2821740957339185,2.464220925292775E-5,-32260.625,959369.0876736194,-0.11633511,0.6186732,0.23363739,0.3371144,314.0226,4.2448454,0.23557985,0.3597885282580024,0.596595385069075,
1_1_1_2_33_4,1324.0,302.45306,0.13544174,0.1254669,0.13089581,0.284908,0.3529001,0.21336418,5,1586,0.36514128651573435,-15.286598,0.10416666666666669,1763822.625,-0.0773832890827538,1016.0416666666665,2.2821740957339185,1.4732503105455505E-5,-31020.291666666664,836281.2300347313,-26.571121,0.10416666666666669,1763822.625,-0.0773832890827538,1016.0416666666665,2.2821740957339185,1.4732503105455505E-5,-31020.291666666664,836281.2300347313,-0.10660274,0.5989426,0.24641481,0.3703963,424.51926,3.9868174,0.25082663,0.3777361710332043,0.596595385069075,
1_1_1_2_33_5,1303.5,302.58948,0.13534093,0.12430846,0.13128534,0.2830469,0.35387886,0.21138644,5,1087,0.3593854274057772,-15.37257,0.10416666666666669,5965862.229166667,-0.17973278254763903,1583.2291666666665,2.2821740957339185,1.266284909580346E-5,-29291.937499999996,2666256.529079877,-26.632145,0.10416666666666669,5965862.229166667,-0.17973278254763903,1583.2291666666665,2.2821740957339185,1.266284909580346E-5,-29291.937499999996,2666256.529079877,-0.111209124,0.41695437,0.2520806,0.36627987,538.4426,2.430263,0.41147807,0.37822929664606286,0.596595385069075,
1_1_1_2_33_6,1063.5,302.90344,0.14144526,0.13836883,0.14892864,0.297839,0.3629266,0.22667855,5,869,0.32928116966191967,-16.83656,0.10416666666666669,1771022.7916666665,-0.29792278612518014,1134.2916666666665,2.2821740957339185,7.245772888814302E-6,-31829.0,699699.4548611343,-25.24582,0.10416666666666669,1771022.7916666665,-0.29792278612518014,1134.2916666666665,2.2821740957339185,7.245772888814302E-6,-31829.0,699699.4548611343,-0.09850334,0.40855664,0.23108356,0.333306,442.99106,2.381558,0.4198932,0.34508714974067917,0.596595385069075,
1_1_1_2_33_7,1243.5,302.92404,0.1384168,0.12882948,0.13856451,0.2884481,0.35834938,0.2149517,5,1445,0.3464045244483659,-15.946487,0.10416666666666669,2729128.770833333,0.18714296814135897,1362.6874999999998,2.2821740957339185,8.826156103357603E-6,-30325.187499999996,1590920.6471354365,-24.933548,0.10416666666666669,2729128.770833333,0.18714296814135897,1362.6874999999998,2.2821740957339185,8.826156103357603E-6,-30325.187499999996,1590920.6471354365,-0.108072914,0.5810213,0.25012633,0.35100505,411.85605,3.7735124,0.26500508,0.3654493462107647,0.596595385069075,
1_1_1_2_33_8,1304.0,302.70312,0.13455248,0.124157146,0.12980743,0.28815684,0.35553792,0.21245627,5,1214,0.37422186608011115,-13.4557905,0.10416666666666669,8680492.208333332,0.1863627283766719,2387.5,2.2821740957339185,6.470295211417133E-6,-26906.666666666664,5189854.912326381,-16.980963,0.10416666666666669,8680492.208333332,0.1863627283766719,2387.5,2.2821740957339185,6.470295211417133E-6,-26906.666666666664,5189854.912326381,-0.10467863,0.4654908,0.2519069,0.37885872,510.72354,2.7417502,0.3647305,0.38323463926033186,0.596595385069075,
1_1_1_2_34_0,2874.5,304.32733,0.13747516,0.12428674,0.12569608,0.28359303,0.3552571,0.21618074,5,2935,0.3921129555120962,-14.110176,0.10416666666666669,971919.8958333333,-0.09575110943615385,827.6458333333333,2.2821740957339185,2.7972823569060255E-5,-27072.6875,451963.4092882052,-24.731503,0.10416666666666669,971919.8958333333,-0.09575110943615385,827.6458333333333,2.2821740957339185,2.7972823569060255E-5,-27072.6875,451963.4092882052,-0.11217665,0.51052356,0.24337967,0.3857834,1062.6533,3.0859985,0.32404423,0.3919485997071232,0.15262901888533942,
1_1_1_2_34_1,2019.5,304.0976,0.13233152,0.11956013,0.12430641,0.2660907,0.3435644,0.21477482,5,2223,0.3477004477688625,-13.572027,0.10416666666666669,272646.0208333333,-0.10306508281626238,378.81249999999994,2.2821740957339185,0.03188641714784875,-27220.687499999996,120507.91970487684,-23.071177,0.10416666666666669,272646.0208333333,-0.10306508281626238,378.81249999999994,2.2821740957339185,0.03188641714784875,-27220.687499999996,120507.91970487684,-0.12707792,0.55038375,0.23066546,0.36317965,703.8742,3.448238,0.29000318,0.38325307736189423,0.15262901888533942,
1_1_1_2_34_2,1823.5,303.5583,0.13209449,0.12069543,0.123625636,0.2694505,0.3189852,0.18542886,5,2209,0.3572402543306876,-14.380171,0.10416666666666669,353973.9166666667,-0.16018556374395274,473.54166666666663,2.2821740957339185,4.433768327549861E-4,-27412.041666666664,154227.14670140296,-23.935902,0.10416666666666669,353973.9166666667,-0.16018556374395274,473.54166666666663,2.2821740957339185,4.433768327549861E-4,-27412.041666666664,154227.14670140296,-0.084180325,0.6057033,0.26477522,0.37098375,577.25037,4.072323,0.24556011,0.3626593000194159,0.15262901888533942,
1_1_1_2_34_3,1692.5,303.9536,0.13862485,0.12275207,0.124169685,0.25210363,0.33643624,0.2025564,5,1661,0.3340537227550454,-13.523485,0.10416666666666669,1222898.7916666665,0.10408796423730987,915.4166666666665,2.2821740957339185,1.0751675409748945E-5,-26555.0,662338.3984375,-24.344728,0.10416666666666669,1222898.7916666665,0.10408796423730987,915.4166666666665,2.2821740957339185,1.0751675409748945E-5,-26555.0,662338.3984375,-0.14329125,0.49069422,0.24838899,0.3400027,642.4892,2.9269142,0.34165674,0.37815375740491175,0.15262901888533942,
1_1_1_2_34_4,1771.0,303.68454,0.13192916,0.12119115,0.12572247,0.2708937,0.34869742,0.21774966,5,2172,0.3503979014759944,-13.582274,0.10416666666666669,415884.0416666666,-0.019932837451816184,507.9583333333333,2.2821740957339185,4.547208964211641E-4,-26783.08333333333,203295.4756944701,-23.61171,0.10416666666666669,415884.0416666666,-0.019932837451816184,507.9583333333333,2.2821740957339185,4.547208964211641E-4,-26783.08333333333,203295.4756944701,-0.1255727,0.6132129,0.23117387,0.3660245,552.5254,4.170803,0.239762,0.3847291761272004,0.15262901888533942,
1_1_1_2_34_5,1998.0,303.4365,0.136149,0.11963262,0.12592609,0.26418182,0.3373728,0.21438542,5,2262,0.3461166740893622,-13.387251,0.10416666666666669,612601.2916666666,0.17536709749513563,639.9166666666665,2.2821740957339185,4.415929929065032E-4,-26628.708333333332,375146.6892361194,-23.434433,0.10416666666666669,612601.2916666666,0.17536709749513563,639.9166666666665,2.2821740957339185,4.415929929065032E-4,-26628.708333333332,375146.6892361194,-0.121669725,0.5660661,0.22290087,0.3544038,678.88965,3.6089966,0.27708533,0.37267220252009614,0.15262901888533942,
1_1_1_2_34_6,2480.0,303.2062,0.1413399,0.12942606,0.13701592,0.25723997,0.3296819,0.21009062,5,2966,0.29487310554029506,-13.254101,0.10416666666666669,1165021.2083333335,0.24317736884993088,927.1666666666666,2.2821740957339185,1.8262362144601707E-5,-25588.083333333332,729507.4618055746,-22.613558,0.10416666666666669,1165021.2083333335,0.24317736884993088,927.1666666666666,2.2821740957339185,1.8262362144601707E-5,-25588.083333333332,729507.4618055746,-0.12342688,0.5979839,0.22155866,0.30493912,796.595,3.9749248,0.25157708,0.3382647864969259,0.15262901888533942,
1_1_1_2_34_7,2090.5,302.66873,0.1291888,0.121001616,0.1273374,0.25762004,0.3374619,0.20308295,5,1781,0.3093928220010346,-13.298945,0.10416666666666669,483651.27083333326,-0.00425866970369046,582.0208333333334,2.2821740957339185,2.5329931292576514E-5,-25973.437499999996,237602.94574652612,-22.388828,0.10416666666666669,483651.27083333326,-0.00425866970369046,582.0208333333334,2.2821740957339185,2.5329931292576514E-5,-25973.437499999996,237602.94574652612,-0.13416952,0.42597464,0.24859907,0.3384339,855.5848,2.4841666,0.40254948,0.37146044037617637,0.15262901888533942,
1_1_1_2_34_8,1899.5,303.00635,0.13615146,0.12508936,0.13020375,0.25820446,0.34217682,0.21826285,5,1827,0.3142537471966056,-12.291947,0.10416666666666669,582552.6875,0.27362135589884684,630.7291666666666,2.2821740957339185,6.507872694544778E-4,-25344.479166666664,379440.95789931715,-24.362747,0.10416666666666669,582552.6875,0.27362135589884684,630.7291666666666,2.2821740957339185,6.507872694544778E-4,-25344.479166666664,379440.95789931715,-0.13986506,0.48091602,0.22110136,0.329552,730.0916,2.8529413,0.35051546,0.3669541955986583,0.15262901888533942,
1_1_1_2_34_9,3045.5,302.77643,0.14473243,0.14061856,0.15572049,0.28019807,0.327521,0.22129658,5,3745,0.27563002530211705,-12.22959,0.10416666666666669,960137.2291666667,0.19283915353316233,823.6041666666666,2.2821740957339185,6.418049639630081E-4,-24225.479166666664,574121.6019965336,-21.053152,0.10416666666666669,960137.2291666667,0.19283915353316233,823.6041666666666,2.2821740957339185,6.418049639630081E-4,-24225.479166666664,574121.6019965336,-0.07786974,0.6148416,0.19355142,0.28555238,947.10455,4.1926684,0.23851159,0.29142496265593953,0.15262901888533942,
1_1_1_2_35_0,1234.5,302.8428,0.12426754,0.11342731,0.11312846,0.26467532,0.25476885,0.17695506,5,1337,0.37458210305309714,-16.10354,0.10416666666666669,1547374.4791666665,-0.13174299782979715,1008.7291666666666,2.2821740957339185,1.356601466914703E-5,-34541.229166666664,661238.211371541,-27.07091,0.10416666666666669,1547374.4791666665,-0.13174299782979715,1008.7291666666666,2.2821740957339185,1.356601466914703E-5,-34541.229166666664,661238.211371541,0.01907129,0.54151475,0.1802397,0.40112585,436.2487,3.3621907,0.29742512,0.3062048697069482,0.14270064087116674,
1_1_1_2_35_1,1349.5,302.69623,0.12812634,0.1192027,0.121932656,0.25374678,0.301235,0.18611704,5,1765,0.32168767820537736,-17.077501,0.10416666666666669,1482154.7083333333,-0.17153329752128982,886.75,2.2821740957339185,8.623584532782077E-5,-34197.625,654067.2204861492,-27.830883,0.10416666666666669,1482154.7083333333,-0.17153329752128982,886.75,2.2821740957339185,8.623584532782077E-5,-34197.625,654067.2204861492,-0.08556716,0.6539459,0.23621109,0.3508686,386.19638,4.7794433,0.2092294,0.34510344805923937,0.14270064087116674,
