system:index,AVE,ClassID,DIF,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,NDI,NLI,RT1,RT2,random,.geo
2_1_10,554.0,8,590,-25.276688,0.10416666666666669,979879.3333333333,-0.06479043008978234,792.8333333333333,2.2821740957339185,2.649659737419217E-5,-50748.54166666667,466198.879340291,-33.223175,0.10416666666666669,979879.3333333333,-0.06479043008978234,792.8333333333333,2.2821740957339185,2.649659737419217E-5,-50748.54166666667,466198.879340291,0.53249097,198.45758,3.2779922,0.30506477,0.1887489548592306,
2_1_11,543.0,8,572,-26.636623,0.10416666666666669,981520.6875,0.10429871079049248,776.7291666666667,2.2821740957339185,3.567902859814514E-5,-51876.47916666667,537832.9249131978,-32.624973,0.10416666666666669,981520.6875,0.10429871079049248,776.7291666666667,2.2821740957339185,3.567902859814514E-5,-51876.47916666667,537832.9249131978,0.5267035,196.1814,3.2256808,0.31001207,0.1887489548592306,
2_1_12,693.0,8,786,-24.906462,0.10416666666666669,1160167.9375,0.050765377280853285,701.3958333333333,2.2821740957339185,2.236618813866882E-5,-49487.8125,569265.6367188692,-33.225468,0.10416666666666669,1160167.9375,0.050765377280853285,701.3958333333333,2.2821740957339185,2.236618813866882E-5,-49487.8125,569265.6367188692,0.5670996,235.06494,3.62,0.2762431,0.1887489548592306,
2_1_13,807.0,8,876,-25.098536,0.10416666666666669,349138.4791666667,-0.23968291766927174,503.43749999999994,2.2821740957339185,1.4674288092791257E-5,-49953.0625,133206.6072048545,-34.11982,0.10416666666666669,349138.4791666667,-0.23968291766927174,503.43749999999994,2.2821740957339185,1.4674288092791257E-5,-49953.0625,133206.6072048545,0.54275095,284.63754,3.3739836,0.29638556,0.1887489548592306,
2_1_14,619.5,8,639,-24.998354,0.10416666666666669,1240674.5833333333,-0.07247380543943552,921.9583333333333,2.2821740957339185,2.3467039183737693E-5,-50637.95833333333,571151.5815971792,-33.501244,0.10416666666666669,1240674.5833333333,-0.07247380543943552,921.9583333333333,2.2821740957339185,2.3467039183737693E-5,-50637.95833333333,571151.5815971792,0.5157385,227.36078,3.13,0.31948882,0.1887489548592306,
2_1_15,510.0,8,492,-26.58476,0.10416666666666669,1156286.6666666665,0.13561772909475647,843.625,2.2821740957339185,3.389295635243748E-4,-52029.541666666664,644015.688368082,-32.260677,0.10416666666666669,1156286.6666666665,0.13561772909475647,843.625,2.2821740957339185,3.389295635243748E-4,-52029.541666666664,644015.688368082,0.48235294,195.6706,2.8636363,0.34920636,0.1887489548592306,
2_2_0,606.0,8,652,-21.437857,0.10416666666666669,2875412.291666667,0.2575568137602888,1348.9166666666667,2.2821740957339185,0.008393731232753696,-44376.666666666664,1826360.9097221047,-31.304157,0.10416666666666669,2875412.291666667,0.2575568137602888,1348.9166666666667,2.2821740957339185,0.008393731232753696,-44376.666666666664,1826360.9097221047,0.5379538,215.31354,3.3285713,0.3004292,0.32250817464501147,
2_2_1,647.0,8,582,-23.498606,0.10416666666666669,2926592.7916666665,0.1912049829973394,1431.7499999999998,2.2821740957339185,0.008393345883975613,-45445.666666666664,1861158.2647568882,-31.022657,0.10416666666666669,2926592.7916666665,0.1912049829973394,1431.7499999999998,2.2821740957339185,0.008393345883975613,-45445.666666666664,1861158.2647568882,0.44976816,258.05875,2.6348314,0.3795309,0.32250817464501147,
2_2_2,728.5,8,827,-22.514545,0.10416666666666669,3445315.9583333335,0.21208023467644366,1594.3333333333335,2.2821740957339185,2.7279951094425005E-6,-45294.875,2322405.994791612,-30.226791,0.10416666666666669,3445315.9583333335,0.21208023467644366,1594.3333333333335,2.2821740957339185,2.7279951094425005E-6,-45294.875,2322405.994791612,0.56760466,246.89774,3.6253967,0.27583188,0.32250817464501147,
2_2_3,925.0,8,1032,-21.444256,0.10416666666666669,4957054.520833333,0.13823674209421646,1763.9791666666665,2.2821740957339185,5.5858256241074535E-6,-44651.14583333333,3052521.280815974,-30.830385,0.10416666666666669,4957054.520833333,0.13823674209421646,1763.9791666666665,2.2821740957339185,5.5858256241074535E-6,-44651.14583333333,3052521.280815974,0.55783784,318.57785,3.5232275,0.28383067,0.32250817464501147,
