system:index,B10,B2,B3,B4,B5,B6,B7,ClassID,EVI,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_1_2_27_1,297.46933,0.096573345,0.08060508,0.056685727,0.27934808,0.16063522,0.066507384,3,0.6218490670191892,0.2698122,0.41439974,0.6626189,0.34944978379465336,0.6927315455617454,
1_1_1_1_1_2_27_2,297.54834,0.09685977,0.080008365,0.05611647,0.27792865,0.16516446,0.06626071,3,0.6243452330246286,0.25449324,0.42736816,0.66401863,0.36211295988364556,0.6927315455617454,
1_1_1_1_1_2_27_3,296.94336,0.09907971,0.08195733,0.0553755,0.29116702,0.15609306,0.06522208,3,0.6696171142134224,0.30200318,0.41059542,0.6804115,0.34515461314148516,0.6927315455617454,
1_1_1_1_1_2_29_0,296.99384,0.09729703,0.08042994,0.054814853,0.30095276,0.16270989,0.064336695,3,0.6836296923898968,0.298154,0.4332732,0.69185024,0.36284963549326954,0.5743657058902644,
1_1_1_1_1_2_29_1,296.76178,0.09477924,0.07963068,0.052232645,0.30622047,0.16438851,0.06554349,3,0.6987115854622011,0.30137965,0.42988807,0.70856637,0.37804140383027746,0.5743657058902644,
1_1_1_1_1_2_29_2,296.87943,0.09577231,0.080470994,0.052087966,0.2984938,0.15918326,0.063700035,3,0.690035168475164,0.3043861,0.4284001,0.7028484,0.36750534256452466,0.5743657058902644,
1_1_1_1_1_2_29_3,296.33258,0.0987843,0.0824991,0.054031838,0.31944683,0.16843328,0.06601508,3,0.7350134042351831,0.30953005,0.4368476,0.71065634,0.3785385419895044,0.5743657058902644,
1_1_1_1_1_2_29_4,296.3821,0.100539744,0.08178017,0.055553053,0.31409013,0.16464889,0.067351446,3,0.7234960524807685,0.31215596,0.41938493,0.6994234,0.36330679134458754,0.5743657058902644,
1_1_1_1_1_2_29_5,296.26123,0.09600049,0.080199316,0.051246405,0.31368434,0.15561141,0.062031247,3,0.7280566386249089,0.3368301,0.4299716,0.7191445,0.36357086371513087,0.5743657058902644,
1_1_1_1_1_2_32_0,297.0818,0.09383294,0.07481441,0.052036498,0.2822035,0.17177105,0.06712668,3,0.6460462173926576,0.24325691,0.43803,0.68862796,0.3943370584282435,0.33001079989178195,
1_1_1_1_1_2_32_1,297.1392,0.09409946,0.07552062,0.052217174,0.29501104,0.17615426,0.06950345,3,0.6725084309648249,0.25226134,0.43414396,0.69923425,0.40205617863029647,0.33001079989178195,
1_1_1_1_1_2_32_2,297.62964,0.094353765,0.075702436,0.05135645,0.28299987,0.17332257,0.06771756,3,0.6554818031874914,0.24035044,0.43812212,0.6928041,0.4004974223557537,0.33001079989178195,
1_1_1_1_1_2_32_3,297.7133,0.09456274,0.07596366,0.051278085,0.27927038,0.17226699,0.06904125,3,0.649389116940195,0.23697571,0.42777544,0.6897394,0.39843345915276995,0.33001079989178195,
1_1_1_1_1_2_32_4,296.52704,0.09558151,0.07716529,0.054673526,0.31019858,0.18583694,0.07306409,3,0.693322755994218,0.25071114,0.43558288,0.70031404,0.40964405407906085,0.33001079989178195,
1_1_1_1_1_2_32_5,296.5174,0.09496836,0.07618187,0.051932015,0.29296172,0.18000844,0.073076665,3,0.6753113095041126,0.23881692,0.4225131,0.69885206,0.41032771965842557,0.33001079989178195,
1_1_1_1_1_2_33_0,297.57104,0.09837106,0.07754363,0.0508383,0.3353201,0.15322909,0.058979318,3,0.7879797434192191,0.37271786,0.44413778,0.73669714,0.36048061294968875,0.2328294444289637,
1_1_1_1_1_2_33_1,297.6464,0.09917681,0.07791875,0.051476136,0.3354539,0.14850259,0.056493215,3,0.7884025668726248,0.38629776,0.4488354,0.73392534,0.3466526829103016,0.2328294444289637,
1_1_1_1_1_2_33_2,297.56985,0.09834902,0.07775763,0.051574804,0.32663813,0.1640786,0.06303353,3,0.7653665140429916,0.33126962,0.4449127,0.7272711,0.3808240746848753,0.2328294444289637,
1_1_1_1_1_2_33_3,297.5926,0.09868303,0.077452086,0.05124536,0.3255676,0.1519461,0.057928365,3,0.7680507415484918,0.3635948,0.44797128,0.72800636,0.35572933175521004,0.2328294444289637,
1_1_1_1_1_2_34_0,297.6416,0.09927052,0.07883533,0.05098385,0.30023038,0.15942518,0.06487979,3,0.7232045430279863,0.30632764,0.42150378,0.70967096,0.3729519100608157,0.21711715432392542,
1_1_1_1_1_2_34_1,297.4969,0.09898107,0.07790464,0.051542338,0.3184055,0.16330086,0.062599696,3,0.7535940068417639,0.32199004,0.44577652,0.7213535,0.37935184280490547,0.21711715432392542,
1_1_1_1_1_2_34_2,297.54352,0.10058023,0.08056225,0.053896487,0.2882205,0.15696509,0.06354946,3,0.6833614471650462,0.294833,0.4236257,0.68492365,0.3541785029484999,0.21711715432392542,
1_1_1_1_1_2_34_3,297.45258,0.09922279,0.07794692,0.051551256,0.3121167,0.1608699,0.06269149,3,0.7425604474506485,0.31976977,0.43915638,0.7164927,0.373930602951824,0.21711715432392542,
1_1_1_1_1_2_37_0,297.58423,0.09899907,0.08003543,0.052629784,0.33024964,0.17248908,0.065923154,3,0.7681488613809897,0.3138023,0.4469818,0.7250843,0.39337758146841884,0.04784654721405057,
1_1_1_1_1_2_37_1,297.56027,0.0984843,0.07852725,0.051284064,0.3251839,0.1684745,0.06487979,3,0.7657198431868524,0.31744504,0.44393745,0.7275515,0.3912571724997465,0.04784654721405057,
1_1_1_1_1_2_37_2,297.5232,0.09906298,0.07927142,0.052026145,0.32334077,0.16994223,0.065439895,3,0.7599634102967762,0.31097472,0.44396886,0.72279847,0.39087529996858156,0.04784654721405057,
1_1_1_1_1_2_37_3,297.45737,0.099075645,0.08045561,0.053635124,0.32633948,0.17214659,0.06596507,3,0.7532579681045406,0.3093224,0.4459316,0.717691,0.38815500492194593,0.04784654721405057,
